word,median_rating
1,1.0
100meter,1.0
1960s,2.5
1968,1.0
24hours,2.5
3d,1.0
4 wheel drive,1.0
4th,1.0
7,7.0
70s,1.0
80s,1.0
911,2.0
AC,1.0
Alaska,1.0
Albania,1.0
Alcohol,6.0
Algonquian,1.0
Andrew,1.0
April,1.0
Athens,1.0
Australia,1.0
Baileys,1.0
Beckham,1.0
Bedouin,1.0
Beige,1.0
Bella,1.0
Beta,1.0
CFL,1.0
Can't,2.5
Canada,1.0
Canada I guess,1.0
Christmas,1.0
DC,1.0
Daniella,1.0
Danny,1.0
Davey,1.0
Dijan Lovren,1.0
DnD,1.0
Don't,1.0
Ender's game,1.0
English,2.0
Evelyn,1.0
FALSE,1.5
Fabinho,1.0
Farmer's market,1.0
Finland,1.0
Ford,1.0
Friday,1.0
Georginio Winjnaldum,1.0
Germany,1.0
Guyana,1.0
Harry,1.0
Honda,1.0
Hopkins,1.0
Hudson's bay,1.0
Hyundai,1.0
I think it's a hundred yards,1.0
IVs,1.0
Ibrahima Konate,1.0
Isa,1.0
Jack,3.0
Jog,1.0
LED,1.0
LeBron James,1.0
M seven,1.0
MRI,1.0
MTA,1.0
Macy's,1.0
Marta,1.0
McDonald,1.0
McDonalds,1.0
Mexico,1.0
Miami,1.0
Minecraft,1.0
Minnesota,1.0
Monday,1.0
Moving,1.0
Netflix,1.0
Nissan,1.0
Oscars,1.0
Peabody,1.0
Philip,1.0
Pregabalin,1.0
Putin,1.0
Q-tips,1.0
Rogers centre,1.0
SI,1.0
SUV,1.0
Shirley,1.0
Shiva,1.0
Smithsonian,1.0
Spain,1.0
Sparta,1.0
Squint,1.0
Sweden,1.0
TRUE,4.0
TV,1.0
TV channels,1.0
Tesla’s,1.0
Thursday,1.0
Tim Hortons,1.0
Timbits,1.0
Toyota,1.0
UFO,1.0
US,1.0
UV,1.0
Udons,1.0
Ukraine,1.0
Vacation,2.0
Valentine's day,1.0
Vancouver,1.0
Washington DC,1.0
Washington monument,1.0
Wednesday,1.0
Weird,4.0
Winners,1.0
Winston,1.0
Yellowstone,1.0
`,1.0
a,1.0
a balloon,1.0
a cross,1.0
a hundred,1.0
a lot,1.5
a-frame,1.0
aardvark,1.0
abandon,3.0
abandonment,5.0
abatement,1.0
abba,1.0
abbott,1.0
abby,1.0
abdomen,1.5
abe,1.0
abel,1.0
abet,1.5
abide,1.0
ability,1.0
abject,1.5
able,1.5
abolish,1.0
abomination,3.0
abortion,1.0
about,1.5
above,1.0
abrasive,2.0
abs,1.0
absence,5.0
absent,1.5
absolutely,2.5
abstract,1.0
absurd,1.0
abuse,4.0
abusive,5.0
abut,1.0
abyss,1.0
abyssal,1.0
ac,1.0
academic,1.0
academics,1.0
academy,1.0
academyawards,1.0
accent,1.0
accept,3.0
acceptance,2.5
access,1.0
accessible,1.0
accessories,1.0
accessory,2.0
accident,3.0
accidental,1.5
accidents,2.0
acclaim,1.0
accompanied,4.0
accomplice,4.5
accomplices,5.0
accomplish,1.0
accomplishment,1.0
accord,1.5
according,3.0
account,1.0
accountable,3.5
accountant,1.0
accounting,1.0
accounts,1.0
accurate,1.0
accusation,5.5
accused,5.0
ace,1.0
acer,1.0
aces,1.0
acetone,1.0
ache,4.0
aches,1.0
achieve,1.0
achievement,1.0
achieving,1.0
achoo,1.0
acidification,1.0
acidophilus,1.0
acids,1.0
